System,Output,Method,Amplitude,NoiseStd,Replicates,PICP_mean,PICP_min,PICP_max,PICP_sd,MPIW_mean,MPIW_min,MPIW_max,MPIW_sd,NMPIW_mean,NMPIW_min,NMPIW_max,NMPIW_sd,RMSE_mean,RMSE_min,RMSE_max,RMSE_sd,MaxExcess_mean,MaxExcess_min,MaxExcess_max,MaxExcess_sd,MinSlack_mean,MinSlack_min,MinSlack_max,MinSlack_sd,Violations_total
2,1,MANFIZ_noise,1.15,0.01,20,1.0,1.0,1.0,0.0,0.44589915592175394,0.4443207812488919,0.4471510588087819,0.0008185316870768439,0.20641269233509835,0.16992342546488926,0.24501924415891138,0.021103513595462732,0.01227747473702423,0.011670537183340301,0.012919910974650093,0.0002620245364198894,0.0,0.0,0.0,0.0,0.14935838418414438,0.1378221087625085,0.15927285697557325,0.005121331723564318,0
2,1,MANFIZ_noise,1.15,0.02,20,1.0,1.0,1.0,0.0,0.44594338901969083,0.44435588609982984,0.4471444215774331,0.0008064986929531663,0.2049996595480015,0.1695818469811066,0.2443746590299738,0.02098913574950272,0.021921898262928455,0.02108613132279112,0.02271106716464277,0.0003580526696931566,0.0,0.0,0.0,0.0,0.1313500372973912,0.11906432662707211,0.14041377943242261,0.005889418680951474,0
2,1,MANFIZ_noise,1.3,0.005,20,1.0,1.0,1.0,0.0,0.45833507459038497,0.4563390762942399,0.4601051437658336,0.001106941319455721,0.1766281162432939,0.14386038575326407,0.21118062028183268,0.018206501502469087,0.01332120210323825,0.012035139360175359,0.014152043779345548,0.00047968276773006425,0.0,0.0,0.0,0.0,0.12270356539808971,0.10081712513588373,0.14091279621317043,0.012782665545262027,0
2,1,MANFIZ_noise,1.3,0.01,20,1.0,1.0,1.0,0.0,0.45834419538844823,0.4563418488017934,0.4600902548242197,0.0011007343702096803,0.17629610961237063,0.1437372403186671,0.21094207316931876,0.01828450150947359,0.01613260188480533,0.015127160256869443,0.01702428648771446,0.0004386482878763524,0.0,0.0,0.0,0.0,0.11582042987193382,0.09144072124683993,0.13666603498443725,0.01323342966789578,0
2,1,MANFIZ_noise,1.3,0.02,20,1.0,1.0,1.0,0.0,0.4583842685273283,0.45637409445296256,0.4600775626313523,0.0010871921491114403,0.17550604429191624,0.1434999809321865,0.21047436229018818,0.018315636463266064,0.02430792160098856,0.023398415697521272,0.02533627608602603,0.0004449291615860816,0.0,0.0,0.0,0.0,0.0991845173634383,0.07269005104038213,0.11830954287115267,0.013148381286427516,0
2,1,MANFIZ_validation,1.0,0.005,20,1.0,1.0,1.0,0.0,0.32571105219705043,0.3244289464574669,0.3266047418947769,0.0005843362496254223,0.1801225642999074,0.15189951820944864,0.21069036366820254,0.016873345237292916,0.006561554821070784,0.006220276388461756,0.006993054035442154,0.00017631503760487098,0.0,0.0,0.0,0.0,0.11333057086725115,0.10699698351418357,0.11758234784407007,0.0023686804477263774,0
2,1,MANFIZ_validation,1.0,0.01,20,1.0,1.0,1.0,0.0,0.3257226451589028,0.32443274449062365,0.3265953280047373,0.0005802242450275944,0.17948222409182982,0.15170689072533863,0.2100369330037619,0.01681904456564488,0.011197194585931852,0.010786323798678136,0.011668808121024807,0.00020583057297657686,0.0,0.0,0.0,0.0,0.10461123055275173,0.09972313570352188,0.10853531337934495,0.002632005091677513,0
2,1,MANFIZ_validation,1.0,0.02,20,1.0,1.0,1.0,0.0,0.3257725041278453,0.3244724874766291,0.3265981984425648,0.0005713529592177858,0.17768266910197233,0.15097312642586208,0.20812082566408005,0.016486672232815303,0.021317042558106233,0.0206401448025137,0.021976174444660962,0.00032581772269661913,0.0,0.0,0.0,0.0,0.08541278206524697,0.07846844431761704,0.09022410131192699,0.003426648052416082,0
2,1,MANFIZ_validation,1.15,0.005,20,1.0,1.0,1.0,0.0,0.3373766018253124,0.3357037032012351,0.33876418819363596,0.0008380012853831208,0.15659238163595063,0.128519070516148,0.18587172757474787,0.016025542536263954,0.008256535674134268,0.007699838388578042,0.00887731741047627,0.0002543637178325995,0.0,0.0,0.0,0.0,0.10120777055400472,0.08940045291879092,0.10793999486140315,0.0050669632946966706,0
2,1,MANFIZ_validation,1.15,0.01,20,1.0,1.0,1.0,0.0,0.3373867557439586,0.3357065777952555,0.338751501607734,0.0008325253028999721,0.15618673204337682,0.12838564851665354,0.18562102279873463,0.01602856290302793,0.01227747473702423,0.011670537183340301,0.012919910974650093,0.0002620245364198894,0.0,0.0,0.0,0.0,0.09306050543048133,0.08002070651368554,0.10565455080728783,0.005782749316132808,0
