System,Amplitude,Replicate,Output,RMSE,MAE,R2,PICP,MPIW,NMPIW,Violations,MaxExcess,MinSlack
1,1.15,15,1,0.009753433463732558,0.006731776237037822,0.9997863551756104,1.0,0.4585758691899986,0.1373717630647098,0,0.0,0.12820083311401137
1,1.15,15,2,0.00739647107213348,0.005286750574895177,0.9998368848275185,1.0,0.48841871234735157,0.18071427168884824,0,0.0,0.11863832679980099
1,1.15,16,1,0.010093488454127407,0.006655634254451316,0.9997735402194919,1.0,0.46535346309949055,0.15876173982398858,0,0.0,0.12329204864639895
1,1.15,16,2,0.007481256346941335,0.005321761669088634,0.9998337142491278,1.0,0.4959852575393854,0.16645656591020572,0,0.0,0.11837935384556161
1,1.15,17,1,0.012012000565508852,0.007968725413738182,0.9996813954512214,1.0,0.4591263399845708,0.14209038286614545,0,0.0,0.11795534252320203
1,1.15,17,2,0.007828426269492584,0.005454496681291816,0.9998156325478603,1.0,0.48934171147698596,0.1515550881651981,0,0.0,0.11370898993706316
1,1.15,18,1,0.01084807065903145,0.006774115377456841,0.9997221079513308,1.0,0.4606915959038669,0.15963107275309585,0,0.0,0.11775547972604322
1,1.15,18,2,0.007183712636203553,0.005181373817117267,0.9998536543548386,1.0,0.4932322761910927,0.1880253825122958,0,0.0,0.09564960498849806
1,1.15,19,1,0.009874298601249162,0.0067425314899861866,0.99977878185751,1.0,0.4620936273293897,0.14606504022196898,0,0.0,0.11600818234600938
1,1.15,19,2,0.006918199770840517,0.005035846164734818,0.9998599143865217,1.0,0.49359217088096163,0.17300540579290832,0,0.0,0.11980429713035827
1,1.15,20,1,0.00878945203189668,0.006451137082137046,0.9998188009077318,1.0,0.46228599315847435,0.15584911519683878,0,0.0,0.13138854966934166
1,1.15,20,2,0.008442195462023456,0.005481654510204238,0.9998049710185648,1.0,0.49514970703860406,0.1762877649543262,0,0.0,0.12227283196424504
1,1.3,1,1,0.013391873157011264,0.008937035991518273,0.999671302013945,1.0,0.48271855529885355,0.14309891102753144,0,0.0,0.11633767857345118
1,1.3,1,2,0.010733289435681624,0.0072582564408090605,0.9997363722637944,1.0,0.518508521047228,0.1524647622066785,0,0.0,0.09982681090090056
1,1.3,2,1,0.015840968565249577,0.00936697307478639,0.9995302728942644,1.0,0.4820181993867387,0.13529484739326408,0,0.0,0.08111509862594776
1,1.3,2,2,0.009877072144615343,0.007011248352629513,0.9997843283573817,1.0,0.5206399935973824,0.16353328543552345,0,0.0,0.11311749586960243
1,1.3,3,1,0.016503803334840913,0.010087126466366848,0.999511258829918,1.0,0.47856559815603017,0.14080725053516632,0,0.0,0.08527444801094178
1,1.3,3,2,0.010780854664104396,0.00692658591687132,0.9997223361110144,1.0,0.5129547263703869,0.1524223248921189,0,0.0,0.11475809183691371
1,1.3,4,1,0.012936859793687054,0.008770723322172182,0.9996926764138628,1.0,0.48141067065111603,0.13807831995681108,0,0.0,0.12223605851249228
1,1.3,4,2,0.011285772477554488,0.00728095736801546,0.9997077905928572,1.0,0.5168539373665723,0.16386273241772487,0,0.0,0.09997907966970121
1,1.3,5,1,0.014369550895668185,0.009359478652348291,0.9996244410773458,1.0,0.47920632136358365,0.14804670187160715,0,0.0,0.11667544936906521
1,1.3,5,2,0.011069447792661374,0.007605461012261125,0.9997034512022367,1.0,0.5127516146658441,0.13555931674098182,0,0.0,0.09718863501918912
1,1.3,6,1,0.013426191471757134,0.009087639436011385,0.999671723225287,1.0,0.4872575031574436,0.15172301475707858,0,0.0,0.10257986888381493
1,1.3,6,2,0.010220804985659098,0.007280478814558608,0.9997590535102926,1.0,0.5222876266746591,0.15632285475072175,0,0.0,0.1138074146893947
1,1.3,7,1,0.013936194608731878,0.008968799095044387,0.9996486308317744,1.0,0.48089285019621186,0.1574240805463557,0,0.0,0.10936062533371091
1,1.3,7,2,0.01112884338343796,0.0074836313172438945,0.9997143885305266,1.0,0.5148938922836561,0.1637472126928048,0,0.0,0.12582639996066236
1,1.3,8,1,0.013590154463119822,0.009235888599368402,0.9996645928686427,1.0,0.47985025743687054,0.13751510688477284,0,0.0,0.11337670047755469
1,1.3,8,2,0.010941531014589029,0.00748182293766425,0.9997192786752802,1.0,0.5145526954063401,0.15277258066923616,0,0.0,0.11501215435359693
1,1.3,9,1,0.014886943007965317,0.00945801568355642,0.9995945333490158,1.0,0.4793144755809806,0.14234535877133794,0,0.0,0.10211958148020275
