Method,System,Amplitude,NoiseStd,Replicate,Output,RMSE,MAE,R2,PICP,MPIW,NMPIW,Violations,MaxExcess,MinSlack
MANFIZ_noise,1,1.0,0.005,11,2,0.007628220988772439,0.006117073549463765,0.9997791199234153,1.0,0.5924630170965985,0.21308244215806635,0,0.0,0.16810293675025131
MANFIZ_validation,1,1.0,0.005,11,1,0.008970968560731268,0.006831009178569599,0.999766531627859,1.0,0.44011135252139694,0.14372874079099088,0,0.0,0.12851004168827396
MANFIZ_validation,1,1.0,0.005,11,2,0.007628220988772439,0.006117073549463765,0.9997791199234153,1.0,0.4679314627906714,0.16829401325783624,0,0.0,0.10933941308712561
MANFIZ_noise,1,1.0,0.01,11,1,0.012816259644093613,0.010443667128882552,0.9995233935090633,1.0,0.5638197263841206,0.18327997512799213,0,0.0,0.17529532424853383
MANFIZ_noise,1,1.0,0.01,11,2,0.011969320590342713,0.010020149633308028,0.9994563717639439,1.0,0.5925119843484219,0.2121230539181183,0,0.0,0.1598568648200477
MANFIZ_validation,1,1.0,0.01,11,1,0.012816259644093613,0.010443667128882552,0.9995233935090633,1.0,0.44013422164700017,0.14307372626668757,0,0.0,0.12044386452875727
MANFIZ_validation,1,1.0,0.01,11,2,0.011969320590342713,0.010020149633308028,0.9994563717639439,1.0,0.4679804300424943,0.16753996647627908,0,0.0,0.09991533554816792
MANFIZ_noise,1,1.0,0.02,11,1,0.022348107675470536,0.018793486776870913,0.9985508681562226,1.0,0.5639036990992445,0.181460620484333,0,0.0,0.1561217238003781
MANFIZ_noise,1,1.0,0.02,11,2,0.02194441750798283,0.018704175469998592,0.998174981199413,1.0,0.5926621207651568,0.2102253328580083,0,0.0,0.1406228396348725
MANFIZ_validation,1,1.0,0.02,11,1,0.022348107675470536,0.018793486776870913,0.9985508681562226,1.0,0.4402181943621224,0.1416594124582689,0,0.0,0.1020420058999558
MANFIZ_validation,1,1.0,0.02,11,2,0.02194441750798283,0.018704175469998592,0.998174981199413,1.0,0.4681305664592287,0.16605229304657312,0,0.0,0.08068131036299268
MANFIZ_noise,1,1.0,0.005,12,1,0.009163986373861486,0.00705771454291407,0.9997583334541443,1.0,0.564159049288629,0.2050064134740128,0,0.0,0.18287175765991176
MANFIZ_noise,1,1.0,0.005,12,2,0.007446240674494784,0.005906621703820635,0.9997890363177383,1.0,0.5922079578530406,0.2275137919894366,0,0.0,0.18023074941598266
MANFIZ_validation,1,1.0,0.005,12,1,0.009163986373861486,0.00705771454291407,0.9997583334541443,1.0,0.4404736961676416,0.16006112601549696,0,0.0,0.1270711134773537
MANFIZ_validation,1,1.0,0.005,12,2,0.007446240674494784,0.005906621703820635,0.9997890363177383,1.0,0.46755490932201943,0.1796247229922016,0,0.0,0.12239770421839719
MANFIZ_noise,1,1.0,0.01,12,1,0.012928312480747203,0.010522301090866002,0.9995191532158529,1.0,0.5641807165575694,0.20439264688134676,0,0.0,0.17473070627508178
MANFIZ_noise,1,1.0,0.01,12,2,0.01187390820826746,0.009814316559495122,0.9994635467426971,1.0,0.5922477537683303,0.2279784576677636,0,0.0,0.17312456363158626
MANFIZ_validation,1,1.0,0.01,12,1,0.012928312480747203,0.010522301090866002,0.9995191532158529,1.0,0.44049536343658047,0.15958364160533367,0,0.0,0.11850327012434182
MANFIZ_validation,1,1.0,0.01,12,2,0.01187390820826746,0.009814316559495122,0.9994635467426971,1.0,0.4675947052373112,0.17999480628729256,0,0.0,0.11624895306396965
MANFIZ_noise,1,1.0,0.02,12,1,0.022356262664804408,0.01878073331584577,0.9985635673336669,1.0,0.5642637028834143,0.20307791186512858,0,0.0,0.15759555143534873
MANFIZ_noise,1,1.0,0.02,12,2,0.021980056384217354,0.018658488153230488,0.9981627284693776,1.0,0.5923773456163116,0.2289326404521916,0,0.0,0.1566679767015901
MANFIZ_validation,1,1.0,0.02,12,1,0.022356262664804408,0.01878073331584577,0.9985635673336669,1.0,0.44057834976242627,0.15856368365629933,0,0.0,0.1000989156823941
